"ort","cc","state_name","place_type","attractiveness_score","research_score","stay","stay_confidence","entry_fee","fact","when","avoid","stay_de","fact_de","when_de","avoid_de","entry_fee_de","stay_fr","fact_fr","when_fr","avoid_fr","entry_fee_fr"
"Cabo de Gata","ES","Andalusia","natural_park","90","3","Best option: Área de Autocaravanas Los Escullos – €12/night, coastal views, basic services
Alternative: Wild parking at various beaches – tolerated but check seasonal restrictions
Wild camping: tolerated outside park core, respect environmental zones","2","","Europe's only desert national park, volcanic landscapes, pristine beaches with 300+ days of sunshine annually","March-May and October-November for perfect weather, avoid extreme summer heat","June-September scorching heat, limited water sources, fire restrictions in summer, crowded beaches in August","","","","","","","","","",""
"Twin Lakes","US","Colorado","nature_reserve","89","3","Best option: Twin Lakes/Colorado State Wildlife Area – free, vault toilets, no hookups
Alternative: Private campgrounds in Leadville area – 30min drive
Wild camping: allowed on National Forest land with dispersed camping rules","2","","Colorado's highest major lakes at 9,200ft, gateway to Mount Elbert (Colorado's highest peak), alpine fishing paradise","July-September for ice-free access and warmest weather, fall for aspen colors","Closed October-May due to snow, afternoon thunderstorms in summer, extremely cold nights even in summer","","","","","","","","","",""
"Lago di Iseo","IT","Lombardy","nature_reserve","89","3","Best option: Area Sosta Camper Iseo – €16/night, town center, lake walking distance
Alternative: Camping del Sole (Monteisola) – island location, ferry required
Wild camping: illegal, occasional police checks","2","","Italy's deepest southern Alpine lake, Monte Isola - Europe's largest lake island, dramatic glacial valleys","May-June and September for perfect weather, April for spring blooms without crowds","August Italian holiday chaos, limited camping near lake, narrow mountain roads challenging for large RVs","","","","","","","","","",""
"Woolacombe Beach","GB","Devon","beach","88","3","Best option: Woolacombe Bay Holiday Parks – £35/night, cliff-top location, beach access
Alternative: Europa Park – consistently poor reviews, last resort only
Wild camping: illegal on beaches, enforcement active in summer","2","","3-mile stretch of golden sand with consistent surf breaks, dramatic Devon coastline, and excellent water quality - surfer's paradise","May-September for weather, September-October for waves with fewer crowds","Summer crowds and parking nightmare, cold water year-round, strong rip currents during big swells","","","","","","","","","",""
"Annapolis","US","Maryland","medium_town","88","3","Best option: Capital KOA – $55/night, full hookups, 20min to Naval Academy
Alternative: Walmart Supercenter parking – some locations allow overnight, verify first
Wild camping: illegal in city limits, enforcement strict","2","","Every brick building in the historic district predates 1750, and the State House dome is the largest wooden dome built without nails in America - held together purely by wooden pegs.","Apr-Jun, Sept-Nov","Jul-Aug when Chesapeake Bay humidity makes 32°C feel like 43°C","","","","","","","","","",""
"Iqaluit","CA","Nunavut","small_town","88","2","Best option: No dedicated RV facilities – hotel parking arrangement essential, CAD $50+/night negotiated rate
Alternative: Community centre parking with permission
Wild camping: legal but extreme weather makes it dangerous, not recommended","3","","The world's northernmost capital city where polar bears outnumber traffic lights (zero), internet costs $100/month for 25GB, and a gallon of milk costs $15.","Jun-Aug","Oct-Apr when temperatures hit -40°C and there's only 4 hours of daylight","","","","","","","","","",""
"Rize","TR","Rize","medium_town","88","2","Best option: Hotel parking arrangements – negotiate directly, €10-15/night typical
Alternative: Petrol stations on city outskirts
Wild camping: tolerated in rural mountain areas but check with locals first","3","","Produces 60% of Turkey's tea on impossibly steep hillsides where pickers use ropes and harnesses to harvest leaves, making it more extreme than mountaineering.","May-Sept","Nov-Mar when Black Sea storms dump 2,500mm of rain annually","","","","","","","","","",""
"Dyuni Beach","BG","Burgas","beach","88","3","Best option: Camping Dyuni – €20/night, beachfront, resort facilities
Alternative: Wild parking along beach road – tolerated but no facilities
Wild camping: tolerated on beaches outside resort areas","3","","Unspoiled stretch of fine golden sand with minimal development, crystal clear water, and sea dunes - one of Bulgaria's most pristine beaches","June-September for swimming, May and September for fewer crowds","Limited facilities, strong currents during storms, can be windy, wild camping restrictions in protected areas","","","","","","","","","",""
"Ermoúpolis","GR","South Aegean","small_town","88","2","Best option: Port parking area – €10-15/night unofficial, basic facilities, walking distance to town
Alternative: Negotiate with hotel for parking
Wild camping: tolerated outside town but water is limited on Syros island","3","","Greece's first capital after independence features neoclassical mansions built by shipowners who became millionaires smuggling goods during the Napoleonic Wars.","May-Oct","Dec-Feb when meltemi winds make ferry connections unreliable","","","","","","","","","",""
"Molde","NO","Møre og Romsdal","medium_town","88","2","Best option: Molde Camping – €35-40/night, full facilities including showers/WC/electricity, 2km from centre
Alternative: Public parking near Moldebadet (swimming complex) – free but no services
Wild camping: Legal under Right to Roam but not in urban areas – park outside town limits","2","","Called the 'City of Roses' because Gulf Stream currents create a microclimate warm enough to grow roses at 62°N latitude - further north than Anchorage, Alaska.","Jun-Aug","Oct-Mar when polar nights and Atlantic storms create 4 months of darkness","","","","","","","","","",""
"Kristiansand","NO","Agder","medium_town","88","3","Best option: Kristiansand Feriesenter – NOK 350/night, coastal location, full services
Alternative: Hamresanden Camping – mixed reviews, check Park4Night before committing
Wild camping: legal under allemansretten, respect private property","2","","Norway's southernmost city enjoys 18 hours of daylight in summer and hosts Scandinavia's largest amusement park built entirely from wood without using a single nail.","Jun-Aug","Nov-Feb when 16 hours of darkness and North Sea storms make it feel post-apocalyptic","","","","","","","","","",""
"Matera","IT","Basilicata","medium_town","88","3","Best option: Area Sosta Camper Matera – €15/night, historic center 1km, shuttle service
Alternative: Wild parking near Belvedere Murgia – unverified, check Park4Night
Wild camping: illegal in UNESCO zone, enforcement increasing","2","","Cave dwellings (Sassi) were inhabited continuously for 9,000 years until 1952 when residents were forcibly relocated due to diseases from living with livestock in stone caves.","Apr-Jun, Sept-Oct","Jul-Aug when stone streets become 50°C ovens and tourists outnumber residents 20:1","","","","","","","","","",""
"Rijeka","HR","Primorje-Gorski Kotar County","medium_town","88","3","Best option: Camping Preluk – €18/night, coastal location, 8km to center
Alternative: Wild parking at Trsat Castle area – unverified, check Park4Night
Wild camping: tolerated outside city, minimal enforcement","3","","Europe's third-largest port has a 'Dead Channel' where Austro-Hungarian submarines are still buried under concrete, and torpedo testing tunnels remain sealed since WWI.","May-Sept","Dec-Feb when bura winds reach 200km/h and shut down the port","","","","","","","","","",""
"Dueodde Beach","DK","Hovedstaden","beach","88","3","Best option: Dueodde Feriecenter – DKK 280/night, beachside, full facilities
Alternative: Wild parking in forest areas – tolerated with restrictions
Wild camping: legal in designated natural areas, 150m from roads/houses","2","","Bornholm's famous white sand beach with some of the finest sand in Europe, backed by pine forest and sand dunes","June-August for swimming weather, May and September for peaceful visits","Water is always cold even in summer, can be very windy, limited facilities outside summer season","","","","","","","","","",""
"İzmit","TR","Kocaeli","medium_town","88","2","Best option: Dedeman Park İzmit parking area – free overnight parking, basic facilities, walking distance to centre
Alternative: Shell or Petrol Ofisi stations on D100 highway – 24h services, tolerated overnight
Wild camping: Generally tolerated outside urban areas but avoid military zones (common in this region)","3","","Sits directly on the North Anatolian Fault where tectonic plates meet - the 1999 earthquake moved the city 3 meters southwest in 45 seconds, killing 17,000 people.","Apr-Jun, Sept-Oct","Jul-Aug when industrial pollution combines with 40°C heat creating toxic smog","","","","","","","","","",""
